TICKER,CIK,NAME,EXCHANGE
AAPL,0000320193,Apple Inc.,Nasdaq
MSFT,0000789019,MICROSOFT CORP,Nasdaq
GOOGL,0001652044,Alphabet Inc.,Nasdaq
AMZN,0001018724,AMAZON COM INC,Nasdaq
NVDA,0001045810,NVIDIA CORP,Nasdaq
META,0001326801,"Meta Platforms, Inc.",Nasdaq
BRK-B,0001067983,BERKSHIRE HATHAWAY INC,NYSE
TSLA,0001318605,"Tesla, Inc.",Nasdaq
LLY,0000059478,ELI LILLY & Co,NYSE
TSM,0001046179,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,NYSE
V,0001403161,VISA INC.,NYSE
UNH,0000731766,UNITEDHEALTH GROUP INC,NYSE
NVO,0000353278,NOVO NORDISK A S,NYSE
JPM,0000019617,JPMORGAN CHASE & CO,NYSE
XOM,0000034088,EXXON MOBIL CORP,NYSE
WMT,0000104169,Walmart Inc.,NYSE
SPY,0000884394,SPDR S&P 500 ETF TRUST,NYSE
AVGO,0001730168,Broadcom Inc.,Nasdaq
LVMUY,0000824046,LVMH MOET HENNESSY LOUIS VUITTON,OTC
MA,0001141391,Mastercard Inc,NYSE
JNJ,0000200406,JOHNSON & JOHNSON,NYSE
PG,0000080424,PROCTER & GAMBLE Co,NYSE
LTMAY,0001047716,LATAM AIRLINES GROUP S.A.,OTC
ORCL,0001341439,ORACLE CORP,NYSE
HD,0000354950,"HOME DEPOT, INC.",NYSE
ADBE,0000796343,ADOBE INC.,Nasdaq
CVX,0000093410,CHEVRON CORP,NYSE
ASML,0000937966,ASML HOLDING NV,Nasdaq
MRK,0000310158,"Merck & Co., Inc.",NYSE
COST,0000909832,COSTCO WHOLESALE CORP /NEW,Nasdaq
TM,0001094517,TOYOTA MOTOR CORP/,NYSE
KO,0000021344,COCA COLA CO,NYSE
ABBV,0001551152,AbbVie Inc.,NYSE
BAC,0000070858,BANK OF AMERICA CORP /DE/,NYSE
PEP,0000077476,PEPSICO INC,Nasdaq
FMX,0001061736,MEXICAN ECONOMIC DEVELOPMENT INC,NYSE
SHEL,0001306965,Shell plc,NYSE
CRM,0001108524,"Salesforce, Inc.",NYSE
ACN,0001467373,Accenture plc,NYSE
NFLX,0001065280,NETFLIX INC,Nasdaq
MCD,0000063908,MCDONALDS CORP,NYSE
BABA,0001577552,Alibaba Group Holding Ltd,NYSE
LIN,0001707925,LINDE PLC,Nasdaq
AZN,0000901832,ASTRAZENECA PLC,Nasdaq
AMD,0000002488,ADVANCED MICRO DEVICES INC,Nasdaq
NVS,0001114448,NOVARTIS AG,NYSE
CSCO,0000858877,"CISCO SYSTEMS, INC.",Nasdaq
INTC,0000050863,INTEL CORP,Nasdaq
TMO,0000097745,THERMO FISHER SCIENTIFIC INC.,NYSE
SAP,0001000184,SAP SE,NYSE
ABT,0000001800,ABBOTT LABORATORIES,NYSE
CMCSA,0001166691,COMCAST CORP,Nasdaq
TMUS,0001283699,"T-Mobile US, Inc.",Nasdaq
DIS,0001744489,Walt Disney Co,NYSE
PFE,0000078003,PFIZER INC,NYSE
TTE,0000879764,TotalEnergies SE,NYSE
NKE,0000320187,"NIKE, Inc.",NYSE
INTU,0000896878,INTUIT INC.,Nasdaq
PDD,0001737806,PDD Holdings Inc.,Nasdaq
BHP,0000811809,BHP Group Ltd,NYSE
DHR,0000313616,DANAHER CORP /DE/,NYSE
WFC,0000072971,WELLS FARGO & COMPANY/MN,NYSE
VZ,0000732712,VERIZON COMMUNICATIONS INC,NYSE
QQQ,0001067839,"INVESCO QQQ TRUST, SERIES 1",Nasdaq
HSBC,0001089113,HSBC HOLDINGS PLC,NYSE
HDB,0001144967,HDFC BANK LTD,NYSE
QCOM,0000804328,QUALCOMM INC/DE,Nasdaq
PM,0001413329,Philip Morris International Inc.,NYSE
AMGN,0000318154,AMGEN INC,Nasdaq
TXN,0000097476,TEXAS INSTRUMENTS INC,Nasdaq
IBM,0000051143,INTERNATIONAL BUSINESS MACHINES CORP,NYSE
RTNTF,0000887028,RIO TINTO LTD,OTC
COP,0001163165,CONOCOPHILLIPS,NYSE
NOW,0001373715,"ServiceNow, Inc.",NYSE
UNP,0000100885,UNION PACIFIC CORP,NYSE
MS,0000895421,MORGAN STANLEY,NYSE
BA,0000012927,BOEING CO,NYSE
GE,0000040545,GENERAL ELECTRIC CO,NYSE
SPGI,0000064040,S&P Global Inc.,NYSE
BX,0001393818,Blackstone Inc.,NYSE
CAT,0000018230,CATERPILLAR INC,NYSE
UPS,0001090727,UNITED PARCEL SERVICE INC,NYSE
AMAT,0000006951,APPLIED MATERIALS INC /DE,Nasdaq
HON,0000773840,HONEYWELL INTERNATIONAL INC,Nasdaq
BUD,0001668717,Anheuser-Busch InBev SA/NV,NYSE
RY,0001000275,ROYAL BANK OF CANADA,NYSE
AXP,0000004962,AMERICAN EXPRESS CO,NYSE
SBUX,0000829224,STARBUCKS CORP,Nasdaq
UL,0000217410,UNILEVER PLC,NYSE
LOW,0000060667,LOWES COMPANIES INC,NYSE
NEE,0000753308,NEXTERA ENERGY INC,NYSE
SNY,0001121404,Sanofi,Nasdaq
T,0000732717,AT&T INC.,NYSE
EADSY,0001378580,Airbus SE/ADR,OTC
RTX,0000101829,RTX Corp,NYSE
UBER,0001543151,"Uber Technologies, Inc",NYSE
TD,0000947263,TORONTO DOMINION BANK,NYSE
RIO,0000863064,RIO TINTO PLC,NYSE
GS,0000886982,GOLDMAN SACHS GROUP INC,NYSE
LMT,0000936468,LOCKHEED MARTIN CORP,NYSE
SYK,0000310764,STRYKER CORP,NYSE
DE,0000315189,DEERE & CO,NYSE
BKNG,0001075531,Booking Holdings Inc.,Nasdaq
ISRG,0001035267,INTUITIVE SURGICAL INC,Nasdaq
ELV,0001156039,"Elevance Health, Inc.",NYSE
SONY,0000313838,Sony Group Corp,NYSE
BLK,0001364742,BlackRock Inc.,NYSE
PBR,0001119639,PETROBRAS - PETROLEO BRASILEIRO SA,NYSE
MUFG,0000067088,MITSUBISHI UFJ FINANCIAL GROUP INC,NYSE
SCHW,0000316709,SCHWAB CHARLES CORP,NYSE
PLD,0001045609,"Prologis, Inc.",NYSE
TJX,0000109198,TJX COMPANIES INC /DE/,NYSE
BP,0000313807,BP PLC,NYSE
MDT,0001613103,Medtronic plc,NYSE
BMY,0000014272,BRISTOL MYERS SQUIBB CO,NYSE
MMC,0000062709,"MARSH & MCLENNAN COMPANIES, INC.",NYSE
EQNR,0001140625,EQUINOR ASA,NYSE
MDLZ,0001103982,"Mondelez International, Inc.",Nasdaq
ADP,0000008670,AUTOMATIC DATA PROCESSING INC,Nasdaq
LRCX,0000707549,LAM RESEARCH CORP,Nasdaq
GILD,0000882095,"GILEAD SCIENCES, INC.",Nasdaq
PGR,0000080661,PROGRESSIVE CORP/OH/,NYSE
AMT,0001053507,AMERICAN TOWER CORP /MA/,NYSE
VRTX,0000875320,VERTEX PHARMACEUTICALS INC / MA,Nasdaq
ADI,0000006281,ANALOG DEVICES INC,Nasdaq
CB,0000896159,Chubb Ltd,NYSE
ETN,0001551182,Eaton Corp plc,NYSE
SHOP,0001594805,SHOPIFY INC.,NYSE
CVS,0000064803,CVS HEALTH Corp,NYSE
REGN,0000872589,"REGENERON PHARMACEUTICALS, INC.",Nasdaq
C,0000831001,CITIGROUP INC,NYSE
MU,0000723125,MICRON TECHNOLOGY INC,Nasdaq
